year type stratum sex age value 
2013 N 1 1 1 0
2013 N 1 1 2 0
2013 N 1 1 3 0
2013 N 1 1 4 0
2013 N 1 1 5 0
2013 N 1 1 6 445.646
2013 N 1 1 7 1879.99
2013 N 1 1 8 7498.84
2013 N 1 1 9 10450.1
2013 N 1 1 10 11002.6
2013 N 1 1 11 16897.7
2013 N 1 1 12 9485.52
2013 N 1 1 13 5949.35
2013 N 1 1 14 4552.9
2013 N 1 1 15 1454.41
2013 N 1 1 16 3088.37
2013 N 1 1 17 2150.17
2013 N 1 1 18 1703.45
2013 N 1 1 19 738.417
2013 N 1 1 20 6622.53
2013 Biomass 1 1 1 0
2013 Biomass 1 1 2 0
2013 Biomass 1 1 3 0
2013 Biomass 1 1 4 0
2013 Biomass 1 1 5 0
2013 Biomass 1 1 6 79.7345
2013 Biomass 1 1 7 396.601
2013 Biomass 1 1 8 2135.48
2013 Biomass 1 1 9 3185.32
2013 Biomass 1 1 10 3722.2
2013 Biomass 1 1 11 7283.1
2013 Biomass 1 1 12 4617.92
2013 Biomass 1 1 13 2900.78
2013 Biomass 1 1 14 2594.04
2013 Biomass 1 1 15 855.434
2013 Biomass 1 1 16 2188.78
2013 Biomass 1 1 17 1259.59
2013 Biomass 1 1 18 1042.82
2013 Biomass 1 1 19 423.918
2013 Biomass 1 1 20 4281.88
2013 N_Kimura   1 1 1 0
2013 N_Kimura   1 1 2 0
2013 N_Kimura   1 1 3 0
2013 N_Kimura   1 1 4 0
2013 N_Kimura   1 1 5 0
2013 N_Kimura   1 1 6 360.094
2013 N_Kimura   1 1 7 1519.08
2013 N_Kimura   1 1 8 6059.26
2013 N_Kimura   1 1 9 8443.97
2013 N_Kimura   1 1 10 8890.36
2013 N_Kimura   1 1 11 13653.8
2013 N_Kimura   1 1 12 7664.55
2013 N_Kimura   1 1 13 4807.23
2013 N_Kimura   1 1 14 3678.86
2013 N_Kimura   1 1 15 1175.2
2013 N_Kimura   1 1 16 2495.48
2013 N_Kimura   1 1 17 1737.4
2013 N_Kimura   1 1 18 1376.43
2013 N_Kimura   1 1 19 596.66
2013 N_Kimura   1 1 20 5351.18
2013 avg_wt_age 1 1 1 0
2013 avg_wt_age 1 1 2 0
2013 avg_wt_age 1 1 3 0
2013 avg_wt_age 1 1 4 0
2013 avg_wt_age 1 1 5 0
2013 avg_wt_age 1 1 6 0.178919
2013 avg_wt_age 1 1 7 0.210958
2013 avg_wt_age 1 1 8 0.284775
2013 avg_wt_age 1 1 9 0.304812
2013 avg_wt_age 1 1 10 0.338303
2013 avg_wt_age 1 1 11 0.431012
2013 avg_wt_age 1 1 12 0.486839
2013 avg_wt_age 1 1 13 0.48758
2013 avg_wt_age 1 1 14 0.569756
2013 avg_wt_age 1 1 15 0.588166
2013 avg_wt_age 1 1 16 0.708716
2013 avg_wt_age 1 1 17 0.585809
2013 avg_wt_age 1 1 18 0.612182
2013 avg_wt_age 1 1 19 0.57409
2013 avg_wt_age 1 1 20 0.646562
2013 N 1 2 1 0
2013 N 1 2 2 0
2013 N 1 2 3 0
2013 N 1 2 4 0
2013 N 1 2 5 0
2013 N 1 2 6 54.2002
2013 N 1 2 7 1949.22
2013 N 1 2 8 14479.9
2013 N 1 2 9 8711.21
2013 N 1 2 10 10791.6
2013 N 1 2 11 9562.49
2013 N 1 2 12 11908.3
2013 N 1 2 13 5279.92
2013 N 1 2 14 2568.84
2013 N 1 2 15 1119.14
2013 N 1 2 16 482.134
2013 N 1 2 17 2459.39
2013 N 1 2 18 848.913
2013 N 1 2 19 313.393
2013 N 1 2 20 4120.06
2013 Biomass 1 2 1 0
2013 Biomass 1 2 2 0
2013 Biomass 1 2 3 0
2013 Biomass 1 2 4 0
2013 Biomass 1 2 5 0
2013 Biomass 1 2 6 5.42002
2013 Biomass 1 2 7 392.482
2013 Biomass 1 2 8 3318.1
2013 Biomass 1 2 9 2223.52
2013 Biomass 1 2 10 3242.43
2013 Biomass 1 2 11 2768.42
2013 Biomass 1 2 12 3849.71
2013 Biomass 1 2 13 1911.09
2013 Biomass 1 2 14 976.727
2013 Biomass 1 2 15 356.992
2013 Biomass 1 2 16 209.165
2013 Biomass 1 2 17 933.638
2013 Biomass 1 2 18 312.827
2013 Biomass 1 2 19 99.1484
2013 Biomass 1 2 20 1755.49
2013 N_Kimura   1 2 1 0
2013 N_Kimura   1 2 2 0
2013 N_Kimura   1 2 3 0
2013 N_Kimura   1 2 4 0
2013 N_Kimura   1 2 5 0
2013 N_Kimura   1 2 6 65.8622
2013 N_Kimura   1 2 7 2368.63
2013 N_Kimura   1 2 8 17595.5
2013 N_Kimura   1 2 9 10585.6
2013 N_Kimura   1 2 10 13113.6
2013 N_Kimura   1 2 11 11620
2013 N_Kimura   1 2 12 14470.6
2013 N_Kimura   1 2 13 6415.98
2013 N_Kimura   1 2 14 3121.57
