year type stratum sex age value 
1993 p 1 1 16 0.00367787
1993 p 1 1 17 0.00167887
1993 p 1 1 18 0.00260822
1993 p 1 1 19 0.00152075
1993 p 1 1 20 0.0036269
1993 p 1 2 1 0
1993 p 1 2 2 0
1993 p 1 2 3 0
1993 p 1 2 4 0
1993 p 1 2 5 0
1993 p 1 2 6 0
1993 p 1 2 7 0.0828907
1993 p 1 2 8 0.0959285
1993 p 1 2 9 0.117133
1993 p 1 2 10 0.250703
1993 p 1 2 11 0.0206006
1993 p 1 2 12 0.0254289
1993 p 1 2 13 0.0274259
1993 p 1 2 14 0.0128335
1993 p 1 2 15 0.00172561
1993 p 1 2 16 0.000831299
1993 p 1 2 17 0.00550479
1993 p 1 2 18 0.0113842
1993 p 1 2 19 0.0076557
1993 p 1 2 20 0.00131438
1993 N  1 99 1 0
1993 N  1 99 2 0
1993 N  1 99 3 0
1993 N  1 99 4 0
1993 N  1 99 5 0
1993 N  1 99 6 922.998
1993 N  1 99 7 16351
1993 N  1 99 8 21398.7
1993 N  1 99 9 22543.2
1993 N  1 99 10 58177.9
1993 N  1 99 11 6366.01
1993 N  1 99 12 9069.18
1993 N  1 99 13 8150.54
1993 N  1 99 14 3071.78
1993 N  1 99 15 1333.16
1993 N  1 99 16 692.13
1993 N  1 99 17 1102.65
1993 N  1 99 18 2147.76
1993 N  1 99 19 1408.53
1993 N  1 99 20 758.458
1993 a  1 99 1 0
1993 a  1 99 2 0
1993 a  1 99 3 0
1993 a  1 99 4 0
1993 a  1 99 5 0
1993 a  1 99 6 0.2
1993 a  1 99 7 0.266923
1993 a  1 99 8 0.312551
1993 a  1 99 9 0.359077
1993 a  1 99 10 0.41956
1993 a  1 99 11 0.500365
1993 a  1 99 12 0.608032
1993 a  1 99 13 0.596138
1993 a  1 99 14 0.568352
1993 a  1 99 15 0.810291
1993 a  1 99 16 0.911572
1993 a  1 99 17 0.565752
1993 a  1 99 18 0.499287
1993 a  1 99 19 0.610145
1993 a  1 99 20 0.834748
1993 N 99 1 1 0
1993 N 99 1 2 0
1993 N 99 1 3 0
1993 N 99 1 4 0
1993 N 99 1 5 0
1993 N 99 1 6 922.998
1993 N 99 1 7 3627.75
1993 N 99 1 8 6674.25
1993 N 99 1 9 4563.99
1993 N 99 1 10 19696.5
1993 N 99 1 11 3203.93
1993 N 99 1 12 5166.01
1993 N 99 1 13 3940.83
1993 N 99 1 14 1101.91
1993 N 99 1 15 1068.29
1993 N 99 1 16 564.53
1993 N 99 1 17 257.697
1993 N 99 1 18 400.347
1993 N 99 1 19 233.426
1993 N 99 1 20 556.708
1993 a 99 1 1 0
1993 a 99 1 2 0
1993 a 99 1 3 0
1993 a 99 1 4 0
1993 a 99 1 5 0
1993 a 99 1 6 0.2
1993 a 99 1 7 0.286615
1993 a 99 1 8 0.34549
1993 a 99 1 9 0.438032
1993 a 99 1 10 0.546782
1993 a 99 1 11 0.605102
1993 a 99 1 12 0.676569
1993 a 99 1 13 0.723884
1993 a 99 1 14 0.76387
1993 a 99 1 15 0.810916
1993 a 99 1 16 0.905521
1993 a 99 1 17 0.913333
1993 a 99 1 18 0.878508
1993 a 99 1 19 0.995
1993 a 99 1 20 0.835677
1993 N 99 2 1 0
1993 N 99 2 2 0
1993 N 99 2 3 0
1993 N 99 2 4 0
1993 N 99 2 5 0
1993 N 99 2 6 0
1993 N 99 2 7 12723.2
1993 N 99 2 8 14724.5
1993 N 99 2 9 17979.2
1993 N 99 2 10 38481.4
1993 N 99 2 11 3162.07
1993 N 99 2 12 3903.18
1993 N 99 2 13 4209.71
1993 N 99 2 14 1969.87
1993 N 99 2 15 264.871
1993 N 99 2 16 127.599
1993 N 99 2 17 844.952
1993 N 99 2 18 1747.41
1993 N 99 2 19 1175.1
1993 N 99 2 20 201.75
1993 a 99 2 1 0
1993 a 99 2 2 0
1993 a 99 2 3 0
1993 a 99 2 4 0
1993 a 99 2 5 0
1993 a 99 2 6 0
1993 a 99 2 7 0.261309
1993 a 99 2 8 0.29762
1993 a 99 2 9 0.339035
1993 a 99 2 10 0.354443
1993 a 99 2 11 0.394242
1993 a 99 2 12 0.51732
1993 a 99 2 13 0.476551
1993 a 99 2 14 0.458983
1993 a 99 2 15 0.807772
1993 a 99 2 16 0.938347
1993 a 99 2 17 0.459745
1993 a 99 2 18 0.412405
1993 a 99 2 19 0.533697
1993 a 99 2 20 0.832185
1993 N 99 99 1 0
1993 N 99 99 2 0
1993 N 99 99 3 0
1993 N 99 99 4 0
1993 N 99 99 5 0
1993 N 99 99 6 922.998
1993 N 99 99 7 16351
1993 N 99 99 8 21398.7
1993 N 99 99 9 22543.2
1993 N 99 99 10 58177.9
1993 N 99 99 11 6366.01
1993 N 99 99 12 9069.18
1993 N 99 99 13 8150.54
