year type stratum sex age value 
2004 N 1 1 1 0
2004 N 1 1 2 3.99873
2004 N 1 1 3 11.9962
2004 N 1 1 4 0
2004 N 1 1 5 171.945
2004 N 1 1 6 2843.95
2004 N 1 1 7 1139.35
2004 N 1 1 8 2207.99
2004 N 1 1 9 3264.25
2004 N 1 1 10 1249.22
2004 N 1 1 11 6868.73
2004 N 1 1 12 4322.93
2004 N 1 1 13 6665.81
2004 N 1 1 14 11765.7
2004 N 1 1 15 4347.69
2004 N 1 1 16 1189.72
2004 N 1 1 17 10215.4
2004 N 1 1 18 4164.72
2004 N 1 1 19 2369.17
2004 N 1 1 20 2668.55
2004 Biomass 1 1 1 0
2004 Biomass 1 1 2 0.0399873
2004 Biomass 1 1 3 0.479847
2004 Biomass 1 1 4 0
2004 Biomass 1 1 5 29.8038
2004 Biomass 1 1 6 611.768
2004 Biomass 1 1 7 360.305
2004 Biomass 1 1 8 824.654
2004 Biomass 1 1 9 1204.48
2004 Biomass 1 1 10 529.157
2004 Biomass 1 1 11 2941.84
2004 Biomass 1 1 12 2166.66
2004 Biomass 1 1 13 3256.97
2004 Biomass 1 1 14 6061.44
2004 Biomass 1 1 15 2297.18
2004 Biomass 1 1 16 671.955
2004 Biomass 1 1 17 6553.76
2004 Biomass 1 1 18 2491.12
2004 Biomass 1 1 19 1400.94
2004 Biomass 1 1 20 1835.43
2004 N_Kimura   1 1 1 0
2004 N_Kimura   1 1 2 3.23928
2004 N_Kimura   1 1 3 9.71783
2004 N_Kimura   1 1 4 0
2004 N_Kimura   1 1 5 139.289
2004 N_Kimura   1 1 6 2303.82
2004 N_Kimura   1 1 7 922.962
2004 N_Kimura   1 1 8 1788.64
2004 N_Kimura   1 1 9 2644.29
2004 N_Kimura   1 1 10 1011.97
2004 N_Kimura   1 1 11 5564.2
2004 N_Kimura   1 1 12 3501.9
2004 N_Kimura   1 1 13 5399.82
2004 N_Kimura   1 1 14 9531.14
2004 N_Kimura   1 1 15 3521.96
2004 N_Kimura   1 1 16 963.764
2004 N_Kimura   1 1 17 8275.26
2004 N_Kimura   1 1 18 3373.74
2004 N_Kimura   1 1 19 1919.21
2004 N_Kimura   1 1 20 2161.73
2004 avg_wt_age 1 1 1 0
2004 avg_wt_age 1 1 2 0.01
2004 avg_wt_age 1 1 3 0.04
2004 avg_wt_age 1 1 4 0
2004 avg_wt_age 1 1 5 0.173333
2004 avg_wt_age 1 1 6 0.215112
2004 avg_wt_age 1 1 7 0.316237
2004 avg_wt_age 1 1 8 0.373486
2004 avg_wt_age 1 1 9 0.368991
2004 avg_wt_age 1 1 10 0.423589
2004 avg_wt_age 1 1 11 0.428295
2004 avg_wt_age 1 1 12 0.501202
2004 avg_wt_age 1 1 13 0.488608
2004 avg_wt_age 1 1 14 0.515178
2004 avg_wt_age 1 1 15 0.528367
2004 avg_wt_age 1 1 16 0.564801
2004 avg_wt_age 1 1 17 0.641557
2004 avg_wt_age 1 1 18 0.598149
2004 avg_wt_age 1 1 19 0.591318
2004 avg_wt_age 1 1 20 0.687801
2004 N 1 2 1 0
2004 N 1 2 2 19.9936
2004 N 1 2 3 59.9809
2004 N 1 2 4 0
2004 N 1 2 5 1223.61
