year type stratum sex age value 
2020 N 1 1 1 0
2020 N 1 1 2 0
2020 N 1 1 3 0
2020 N 1 1 4 0
2020 N 1 1 5 0
2020 N 1 1 6 0
2020 N 1 1 7 0
2020 N 1 1 8 0
2020 N 1 1 9 0
2020 N 1 1 10 0
2020 N 1 1 11 0
2020 N 1 1 12 0
2020 N 1 1 13 0
2020 N 1 1 14 0
2020 N 1 1 15 0
2020 N 1 1 16 0
2020 N 1 1 17 0
2020 N 1 1 18 0
2020 N 1 1 19 0
2020 N 1 1 20 0
2020 Biomass 1 1 1 0
2020 Biomass 1 1 2 0
2020 Biomass 1 1 3 0
2020 Biomass 1 1 4 0
2020 Biomass 1 1 5 0
2020 Biomass 1 1 6 0
2020 Biomass 1 1 7 0
2020 Biomass 1 1 8 0
2020 Biomass 1 1 9 0
2020 Biomass 1 1 10 0
2020 Biomass 1 1 11 0
2020 Biomass 1 1 12 0
2020 Biomass 1 1 13 0
2020 Biomass 1 1 14 0
2020 Biomass 1 1 15 0
2020 Biomass 1 1 16 0
2020 Biomass 1 1 17 0
2020 Biomass 1 1 18 0
2020 Biomass 1 1 19 0
2020 Biomass 1 1 20 0
2020 N_Kimura   1 1 1 0
2020 N_Kimura   1 1 2 0
2020 N_Kimura   1 1 3 0
2020 N_Kimura   1 1 4 0
2020 N_Kimura   1 1 5 0
2020 N_Kimura   1 1 6 0
2020 N_Kimura   1 1 7 0
2020 N_Kimura   1 1 8 0
2020 N_Kimura   1 1 9 0
2020 N_Kimura   1 1 10 0
2020 N_Kimura   1 1 11 0
2020 N_Kimura   1 1 12 0
2020 N_Kimura   1 1 13 0
2020 N_Kimura   1 1 14 0
2020 N_Kimura   1 1 15 0
2020 N_Kimura   1 1 16 0
2020 N_Kimura   1 1 17 0
2020 N_Kimura   1 1 18 0
2020 N_Kimura   1 1 19 0
2020 N_Kimura   1 1 20 0
2020 avg_wt_age 1 1 1 0
2020 avg_wt_age 1 1 2 0
2020 avg_wt_age 1 1 3 0
2020 avg_wt_age 1 1 4 0
2020 avg_wt_age 1 1 5 0
2020 avg_wt_age 1 1 6 0
2020 avg_wt_age 1 1 7 0
2020 avg_wt_age 1 1 8 0
2020 avg_wt_age 1 1 9 0
2020 avg_wt_age 1 1 10 0
2020 avg_wt_age 1 1 11 0
2020 avg_wt_age 1 1 12 0
2020 avg_wt_age 1 1 13 0
2020 avg_wt_age 1 1 14 0
2020 avg_wt_age 1 1 15 0
2020 avg_wt_age 1 1 16 0
2020 avg_wt_age 1 1 17 0
2020 avg_wt_age 1 1 18 0
2020 avg_wt_age 1 1 19 0
2020 avg_wt_age 1 1 20 0
2020 N 1 2 1 0
2020 N 1 2 2 0
2020 N 1 2 3 0
2020 N 1 2 4 0
2020 N 1 2 5 0
2020 N 1 2 6 0
2020 N 1 2 7 0
2020 N 1 2 8 0
2020 N 1 2 9 0
2020 N 1 2 10 0
2020 N 1 2 11 0
2020 N 1 2 12 0
2020 N 1 2 13 0
2020 N 1 2 14 0
2020 N 1 2 15 0
2020 N 1 2 16 0
2020 N 1 2 17 0
2020 N 1 2 18 0
2020 N 1 2 19 0
2020 N 1 2 20 0
2020 Biomass 1 2 1 0
2020 Biomass 1 2 2 0
2020 Biomass 1 2 3 0
2020 Biomass 1 2 4 0
2020 Biomass 1 2 5 0
2020 Biomass 1 2 6 0
2020 Biomass 1 2 7 0
2020 Biomass 1 2 8 0
2020 Biomass 1 2 9 0
2020 Biomass 1 2 10 0
2020 Biomass 1 2 11 0
2020 Biomass 1 2 12 0
2020 Biomass 1 2 13 0
2020 Biomass 1 2 14 0
2020 Biomass 1 2 15 0
2020 Biomass 1 2 16 0
2020 Biomass 1 2 17 0
2020 Biomass 1 2 18 0
2020 Biomass 1 2 19 0
2020 Biomass 1 2 20 0
2020 N_Kimura   1 2 1 0
2020 N_Kimura   1 2 2 0
2020 N_Kimura   1 2 3 0
2020 N_Kimura   1 2 4 0
2020 N_Kimura   1 2 5 0
2020 N_Kimura   1 2 6 0
2020 N_Kimura   1 2 7 0
2020 N_Kimura   1 2 8 0
2020 N_Kimura   1 2 9 0
2020 N_Kimura   1 2 10 0
2020 N_Kimura   1 2 11 0
2020 N_Kimura   1 2 12 0
2020 N_Kimura   1 2 13 0
2020 N_Kimura   1 2 14 0
2020 N_Kimura   1 2 15 0
2020 N_Kimura   1 2 16 0
2020 N_Kimura   1 2 17 0
2020 N_Kimura   1 2 18 0
2020 N_Kimura   1 2 19 0
2020 N_Kimura   1 2 20 0
2020 avg_wt_age 1 2 1 0
2020 avg_wt_age 1 2 2 0
2020 avg_wt_age 1 2 3 0
2020 avg_wt_age 1 2 4 0
2020 avg_wt_age 1 2 5 0
2020 avg_wt_age 1 2 6 0
2020 avg_wt_age 1 2 7 0
2020 avg_wt_age 1 2 8 0
2020 avg_wt_age 1 2 9 0
2020 avg_wt_age 1 2 10 0
2020 avg_wt_age 1 2 11 0
2020 avg_wt_age 1 2 12 0
2020 avg_wt_age 1 2 13 0
2020 avg_wt_age 1 2 14 0
2020 avg_wt_age 1 2 15 0
2020 avg_wt_age 1 2 16 0
2020 avg_wt_age 1 2 17 0
2020 avg_wt_age 1 2 18 0
2020 avg_wt_age 1 2 19 0
2020 avg_wt_age 1 2 20 0
2020 p 1 1 1 0
2020 p 1 1 2 0
2020 p 1 1 3 0
2020 p 1 1 4 0
2020 p 1 1 5 0
2020 p 1 1 6 0
2020 p 1 1 7 0
2020 p 1 1 8 0
2020 p 1 1 9 0
2020 p 1 1 10 0
2020 p 1 1 11 0
2020 p 1 1 12 0
2020 p 1 1 13 0
2020 p 1 1 14 0
2020 p 1 1 15 0
2020 p 1 1 16 0
2020 p 1 1 17 0
2020 p 1 1 18 0
2020 p 1 1 19 0
2020 p 1 1 20 0
2020 p 1 2 1 0
2020 p 1 2 2 0
2020 p 1 2 3 0
2020 p 1 2 4 0
2020 p 1 2 5 0
2020 p 1 2 6 0
2020 p 1 2 7 0
2020 p 1 2 8 0
2020 p 1 2 9 0
2020 p 1 2 10 0
2020 p 1 2 11 0
2020 p 1 2 12 0
2020 p 1 2 13 0
2020 p 1 2 14 0
2020 p 1 2 15 0
2020 p 1 2 16 0
2020 p 1 2 17 0
2020 p 1 2 18 0
2020 p 1 2 19 0
2020 p 1 2 20 0
2020 N  1 99 1 0
2020 N  1 99 2 0
2020 N  1 99 3 0
2020 N  1 99 4 0
2020 N  1 99 5 0
2020 N  1 99 6 0
2020 N  1 99 7 0
2020 N  1 99 8 0
2020 N  1 99 9 0
2020 N  1 99 10 0
2020 N  1 99 11 0
2020 N  1 99 12 0
2020 N  1 99 13 0
2020 N  1 99 14 0
2020 N  1 99 15 0
2020 N  1 99 16 0
2020 N  1 99 17 0
2020 N  1 99 18 0
2020 N  1 99 19 0
2020 N  1 99 20 0
2020 a  1 99 1 0
2020 a  1 99 2 0
2020 a  1 99 3 0
2020 a  1 99 4 0
2020 a  1 99 5 0
2020 a  1 99 6 0
2020 a  1 99 7 0
2020 a  1 99 8 0
2020 a  1 99 9 0
2020 a  1 99 10 0
2020 a  1 99 11 0
2020 a  1 99 12 0
2020 a  1 99 13 0
2020 a  1 99 14 0
2020 a  1 99 15 0
2020 a  1 99 16 0
2020 a  1 99 17 0
2020 a  1 99 18 0
2020 a  1 99 19 0
2020 a  1 99 20 0
2020 N 99 1 1 0
2020 N 99 1 2 0
2020 N 99 1 3 0
2020 N 99 1 4 0
2020 N 99 1 5 0
2020 N 99 1 6 0
2020 N 99 1 7 0
2020 N 99 1 8 0
2020 N 99 1 9 0
2020 N 99 1 10 0
2020 N 99 1 11 0
2020 N 99 1 12 0
2020 N 99 1 13 0
2020 N 99 1 14 0
2020 N 99 1 15 0
2020 N 99 1 16 0
2020 N 99 1 17 0
2020 N 99 1 18 0
2020 N 99 1 19 0
2020 N 99 1 20 0
2020 a 99 1 1 0
2020 a 99 1 2 0
2020 a 99 1 3 0
2020 a 99 1 4 0
2020 a 99 1 5 0
2020 a 99 1 6 0
2020 a 99 1 7 0
2020 a 99 1 8 0
2020 a 99 1 9 0
2020 a 99 1 10 0
2020 a 99 1 11 0
2020 a 99 1 12 0
2020 a 99 1 13 0
2020 a 99 1 14 0
2020 a 99 1 15 0
2020 a 99 1 16 0
2020 a 99 1 17 0
2020 a 99 1 18 0
2020 a 99 1 19 0
2020 a 99 1 20 0
2020 N 99 2 1 0
2020 N 99 2 2 0
2020 N 99 2 3 0
2020 N 99 2 4 0
2020 N 99 2 5 0
2020 N 99 2 6 0
2020 N 99 2 7 0
2020 N 99 2 8 0
2020 N 99 2 9 0
2020 N 99 2 10 0
2020 N 99 2 11 0
2020 N 99 2 12 0
2020 N 99 2 13 0
2020 N 99 2 14 0
2020 N 99 2 15 0
2020 N 99 2 16 0
2020 N 99 2 17 0
2020 N 99 2 18 0
2020 N 99 2 19 0
2020 N 99 2 20 0
2020 a 99 2 1 0
2020 a 99 2 2 0
2020 a 99 2 3 0
2020 a 99 2 4 0
2020 a 99 2 5 0
2020 a 99 2 6 0
2020 a 99 2 7 0
2020 a 99 2 8 0
2020 a 99 2 9 0
2020 a 99 2 10 0
2020 a 99 2 11 0
2020 a 99 2 12 0
2020 a 99 2 13 0
2020 a 99 2 14 0
2020 a 99 2 15 0
2020 a 99 2 16 0
2020 a 99 2 17 0
2020 a 99 2 18 0
2020 a 99 2 19 0
2020 a 99 2 20 0
2020 N 99 99 1 0
2020 N 99 99 2 0
2020 N 99 99 3 0
2020 N 99 99 4 0
2020 N 99 99 5 0
2020 N 99 99 6 0
2020 N 99 99 7 0
2020 N 99 99 8 0
2020 N 99 99 9 0
2020 N 99 99 10 0
2020 N 99 99 11 0
2020 N 99 99 12 0
2020 N 99 99 13 0
2020 N 99 99 14 0
2020 N 99 99 15 0
2020 N 99 99 16 0
2020 N 99 99 17 0
2020 N 99 99 18 0
2020 N 99 99 19 0
2020 N 99 99 20 0
2020 a 99 99 1 0
2020 a 99 99 2 0
2020 a 99 99 3 0
2020 a 99 99 4 0
2020 a 99 99 5 0
2020 a 99 99 6 0
2020 a 99 99 7 0
2020 a 99 99 8 0
2020 a 99 99 9 0
2020 a 99 99 10 0
2020 a 99 99 11 0
2020 a 99 99 12 0
2020 a 99 99 13 0
2020 a 99 99 14 0
2020 a 99 99 15 0
2020 a 99 99 16 0
2020 a 99 99 17 0
2020 a 99 99 18 0
2020 a 99 99 19 0
2020 a 99 99 20 0
