1 93 1 8 0.84 42
1 80 2 5 0.4 36
1 74 2 2 0.25 29
1 56 2 4 0.65 37
2 98 2 4 0.66 36
2 9 1 -9 -9 37
2 86 2 5 0.4 36
1 11 1 8 0.82 43
1 22 2 2 0.33 30
1 23 1 2 0.34 32
1 40 1 5 0.75 41
1 48 2 4 0.8 37
1 55 2 3 0.5 34
1 35 1 11 0.65 41
1 33 2 5 0.5 35
2 2 2 2 -9 36
1 90 2 5 0.9 41
1 81 2 4 0.45 38
1 78 2 3 0.53 36
2 85 1 3 0.45 38
1 20 1 3 0.31 33
1 43 2 5 0.7 35
2 5 1 -9 -9 40
2 9 2 2 -9 36
2 85 2 -9 0.3 31
1 22 2 2 0.22 29
1 29 1 9 0.88 46
1 38 1 9 0.95 45
1 55 1 9 0.65 42
1 34 1 5 0.55 36
1 13 1 9 0.65 40
1 61 2 2 0.3 30
1 33 1 4 0.7 38
1 34 1 5 0.75 40
1 14 1 3 0.61 36
1 21 1 3 0.35 33
1 35 1 9 0.85 44
2 8 2 2 -9 35
2 88 1 3 0.5 38
1 28 2 2 0.2 27
1 45 1 3 0.55 34
1 44 1 5 0.5 33
1 70 2 3 0.45 33
1 34 2 5 0.55 37
2 5 2 2 -9 34
2 5 1 8 -9 42
1 32 2 2 0.35 31
1 12 2 5 0.85 39
1 74 1 3 0.4 35
1 65 2 2 0.3 32
1 34 2 5 0.6 38
2 1 1 3 -9 36
2 88 2 5 0.55 38
1 55 2 4 0.63 37
2 4 2 2 -9 33
1 97 1 4 0.67 37
2 7 1 4 -9 38
1 14 2 4 0.7 38
1 18 1 3 0.47 35
1 27 2 7 1 45
2 3 1 6 -9 41
1 64 2 3 0.45 34
2 92 2 5 0.8 38
1 94 2 2 0.38 32
1 80 1 6 0.4 38
1 84 2 -9 0.15 31
1 12 1 9 0.95 45
1 54 1 3 0.4 32
1 78 1 6 0.59 39
1 30 2 5 0.6 37
1 25 1 3 0.33 32
1 37 1 9 0.9 44
1 74 2 2 0.6 36
1 66 1 3 0.45 33
1 47 1 4 0.55 35
2 8 1 3 -9 37
2 87 1 3 0.35 37
1 15 2 9 0.9 44
1 13 2 5 0.7 39
1 12 2 4 0.65 40
1 46 2 3 0.65 37
1 66 1 8 0.65 39
1 33 1 5 0.6 37
2 5 1 2 -9 34
2 6 2 2 -9 36
1 83 2 5 0.7 41
1 30 1 5 0.4 37
1 25 2 3 0.35 33
1 13 1 5 0.76 39
2 5 2 2 -9 34
1 30 2 3 0.4 33
1 24 1 2 0.32 31
1 29 2 9 1.12 45
1 89 2 4 0.81 38
1 96 2 6 0.75 41
1 79 2 6 0.5 37
1 25 2 2 0.23 28
1 13 2 5 0.9 42
1 65 1 8 0.6 41
1 95 2 2 0.36 30
1 78 2 2 0.4 32
1 82 1 2 0.15 30
1 84 2 5 0.55 38
1 25 2 3 0.3 32
2 4 2 2 -9 38
2 87 2 -9 0.7 39
1 13 1 5 0.7 40
1 35 1 4 0.6 36
2 85 1 4 0.35 35
1 31 2 2 0.25 29
1 21 2 2 0.43 33
1 12 1 5 0.8 41
1 51 1 3 0.5 34
1 34 1 6 0.7 38
2 5 1 5 -9 40
2 88 1 4 0.55 37
1 25 1 2 0.25 29
1 13 1 12 0.83 45
1 51 1 7 0.65 41
1 52 1 3 0.55 37
1 73 1 6 0.65 41
1 35 1 8 0.6 40
1 35 1 4 0.5 37
1 81 2 5 0.55 38
2 88 1 3 0.45 37
1 11 1 5 0.79 42
1 54 2 2 0.3 29
1 35 1 5 0.8 39
1 94 2 3 0.46 35
1 94 1 5 0.55 37
1 83 1 8 0.5 37
2 85 2 3 0.55 37
1 23 1 2 0.28 30
1 71 1 6 0.7 40
2 2 2 4 -9 36
1 41 2 6 1 42
1 84 1 6 0.45 38
1 25 1 3 0.41 34
1 13 1 6 1 45
1 11 1 9 0.74 42
1 12 2 4 0.84 40
1 49 1 4 0.65 36
1 33 2 3 0.5 35
1 77 1 3 0.55 38
1 25 2 2 0.26 30
1 17 2 5 0.97 44
1 29 2 5 1.2 45
1 42 2 2 0.45 31
1 89 2 5 0.95 39
2 6 1 5 -9 38
1 13 2 5 0.67 38
1 72 1 2 0.2 27
1 79 1 2 0.15 31
1 32 2 3 0.5 35
1 11 1 7 0.84 43
1 29 2 9 1.15 47
2 3 2 7 -9 42
1 96 2 3 0.45 34
2 99 2 3 0.54 35
1 31 1 3 0.35 33
1 15 1 3 0.54 36
1 41 1 5 0.85 40
1 63 2 2 0.25 29
2 8 2 -9 -9 37
1 27 1 2 0.23 28
1 70 2 6 0.75 40
1 39 2 2 0.5 31
1 95 1 2 0.27 29
2 8 2 2 -9 35
2 86 2 5 0.35 34
1 76 1 5 0.6 41
1 90 2 5 0.65 37
2 3 1 5 -9 41
1 79 2 9 0.6 41
1 15 2 2 0.3 30
1 52 2 4 0.6 37
1 39 1 2 0.5 31
1 33 1 5 0.65 39
2 98 1 3 0.46 32
2 99 2 3 0.58 35
1 68 1 2 0.35 32
1 57 1 5 0.6 38
1 35 2 4 0.75 37
1 81 1 4 0.35 36
1 82 2 5 0.6 39
1 82 2 4 0.65 39
1 31 2 2 0.1 26
1 14 2 5 1 44
1 29 2 5 0.9 45
1 10 2 9 0.9 43
1 60 2 2 0.3 29
1 33 1 7 0.7 42
1 97 2 2 0.28 29
1 93 2 3 0.53 36
1 78 1 3 0.55 38
2 85 2 -9 0.65 40
1 84 2 4 0.5 38
1 25 2 2 0.31 31
1 28 2 2 0.2 27
1 12 2 6 0.95 42
1 33 2 5 0.5 37
2 1 2 5 -9 37
1 81 1 5 0.45 38
1 31 2 5 0.8 40
1 55 1 5 0.6 37
1 35 1 5 0.6 39
1 93 1 5 0.62 37
2 2 1 2 -9 33
1 95 1 2 0.44 34
2 99 1 3 0.66 37
2 1 2 3 -9 38
1 31 2 2 0.1 26
1 14 2 4 0.8 38
1 13 2 4 0.45 35
1 12 1 5 0.86 41
1 38 2 4 0.7 39
2 6 2 2 -9 34
1 13 1 5 0.7 39
1 77 1 9 0.62 42
1 15 1 2 0.25 29
1 19 1 3 0.42 34
1 27 2 2 0.2 27
2 1 1 5 -9 37
1 77 2 6 0.74 39
1 82 1 3 0.45 36
1 84 1 5 0.5 38
1 13 1 4 0.68 39
1 25 1 2 0.23 29
1 19 1 3 0.45 35
1 65 1 5 0.5 37
1 55 1 5 0.4 33
1 35 1 5 0.7 40
1 81 2 6 0.5 39
1 77 2 3 0.6 37
1 31 1 5 0.6 37
1 57 1 2 0.3 30
1 70 1 4 0.55 37
1 33 2 5 0.8 39
1 95 2 2 0.29 29
1 22 2 3 0.53 34
1 10 2 5 1 41
1 62 1 7 0.55 38
1 54 2 3 0.5 34
2 5 2 6 -9 40
2 5 2 6 -9 42
2 6 2 3 -9 39
1 14 2 3 0.36 32
1 80 1 5 0.5 38
2 88 1 5 0.45 37
1 25 1 2 0.22 28
1 13 2 5 0.72 38
1 62 1 4 0.45 35
1 56 2 9 0.85 43
1 43 1 4 0.6 36
2 4 1 6 -9 39
2 1 1 4 -9 39
2 88 2 9 0.7 41
1 25 2 2 0.17 27
1 72 2 5 0.85 40
1 70 2 5 0.6 38
1 34 2 12 0.8 42
1 35 2 4 0.8 37
2 5 2 2 -9 33
1 31 1 3 0.3 33
1 13 2 7 0.97 44
1 10 2 7 0.85 41
2 2 1 5 -9 40
1 94 2 3 0.46 34
1 83 1 3 0.55 39
2 1 1 4 -9 37
1 76 2 9 0.6 40
1 31 1 7 0.7 40
1 25 1 3 0.42 34
1 20 2 3 0.38 34
1 12 2 5 0.75 40
1 43 1 3 0.6 34
1 33 2 7 0.8 41
1 34 1 4 0.5 38
2 5 1 10 -9 42
1 23 2 3 0.46 34
1 44 1 3 0.55 35
2 86 2 5 0.45 37
2 86 1 5 0.6 40
2 87 2 3 0.5 38
1 77 2 3 0.6 36
1 21 1 3 0.5 35
1 27 1 2 0.19 28
1 51 2 3 0.45 33
1 33 2 4 0.6 35
2 7 2 6 -9 39
2 88 1 4 0.55 39
2 85 1 5 0.65 39
1 84 1 5 0.4 34
1 20 2 3 0.49 35
1 59 1 8 0.65 42
1 67 1 6 0.5 36
1 61 2 6 0.7 40
1 38 1 2 0.4 30
1 60 2 4 0.7 40
1 16 1 6 0.82 44
1 14 1 3 0.54 36
2 100 2 -9 0.68 40
2 8 2 3 -9 37
1 76 2 6 0.7 40
1 14 1 4 0.7 40
1 27 1 2 0.15 26
1 36 1 9 0.95 44
2 5 2 3 -9 40
1 12 2 4 0.85 39
1 12 2 5 0.9 39
1 14 2 5 0.7 39
1 22 1 3 0.45 34
1 14 1 4 0.54 35
1 27 1 2 0.25 28
1 42 1 9 1 43
1 49 2 4 0.7 36
1 54 2 2 0.35 30
2 7 1 3 -9 37
1 81 1 5 0.45 39
2 7 2 4 -9 40
1 15 1 3 0.57 37
1 10 2 8 0.95 43
1 34 2 4 0.55 36
2 100 1 -9 0.7 41
2 2 2 8 -9 42
1 93 2 4 0.79 39
1 15 2 5 0.5 36
1 28 2 2 0.26 28
1 69 1 5 0.55 37
1 34 2 5 0.5 33
2 4 1 6 -9 42
2 1 1 6 -9 39
1 31 2 3 0.4 36
2 6 1 6 -9 37
1 79 2 -9 0.5 39
1 14 2 3 0.48 35
1 28 2 2 0.22 28
1 90 2 3 0.71 36
2 6 1 6 -9 38
1 12 1 5 0.85 41
1 51 1 2 0.35 29
1 41 1 2 0.5 32
2 2 2 7 -9 42
2 98 1 3 0.27 30
2 87 1 4 0.4 37
1 11 1 6 0.9 42
1 69 2 3 0.45 33
1 73 2 6 0.55 38
1 64 1 3 0.3 32
1 96 1 5 0.66 36
1 79 1 5 0.5 39
1 76 2 8 0.5 39
1 21 1 2 0.33 31
1 72 2 9 0.75 41
2 9 1 3 -9 36
2 87 1 4 0.65 40
1 22 2 2 0.34 32
1 27 1 2 0.19 27
1 10 2 5 1.02 41
1 58 1 3 0.5 35
2 7 2 4 -9 38
2 1 2 -9 -9 39
1 14 1 3 0.63 38
1 46 1 5 0.7 38
1 46 1 6 0.75 40
1 33 1 8 0.7 41
1 33 2 7 0.8 41
2 86 1 3 0.35 34
1 11 1 6 0.88 43
1 12 2 6 0.83 42
1 50 2 2 0.35 30
1 33 1 6 0.6 40
1 95 1 5 0.68 37
1 81 2 5 0.45 40
1 25 2 2 0.25 29
1 13 2 5 0.9 42
1 55 1 2 0.2 27
1 63 2 5 0.8 40
1 49 1 5 0.65 38
2 9 2 2 -9 36
1 82 2 2 0.1 28
1 53 2 5 0.55 37
1 54 1 8 0.7 41
1 58 1 5 0.65 38
1 79 2 5 0.6 41
1 57 2 3 0.55 35
1 60 2 5 0.45 36
1 34 1 8 0.7 40
2 100 2 -9 0.72 41
2 7 2 2 -9 35
1 93 2 5 0.88 41
2 99 1 4 0.79 40
1 79 2 4 0.5 39
2 8 1 5 -9 36
1 68 2 5 0.45 36
2 88 2 5 0.55 39
1 14 1 7 0.51 38
1 25 1 2 0.26 30
1 25 2 2 0.31 31
1 72 1 2 0.35 30
2 100 1 -9 0.68 40
1 78 2 4 0.75 39
1 79 2 -9 0.2 32
1 31 1 4 0.5 36
1 16 1 5 0.9 44
1 63 1 2 0.25 29
2 98 2 3 0.49 33
1 15 1 5 0.59 38
1 12 1 5 0.65 39
1 66 1 2 0.25 29
1 80 2 5 0.5 36
1 83 2 4 0.3 33
1 14 1 3 0.55 37
1 20 1 2 0.3 32
1 10 2 7 0.88 43
1 69 2 10 0.8 42
1 33 1 5 0.5 37
1 30 1 4 0.45 35
1 15 1 4 0.63 38
1 23 2 2 0.26 29
1 52 2 6 0.55 38
1 35 2 3 0.6 35
1 21 2 2 0.27 29
2 92 2 5 0.94 40
2 3 2 6 -9 42
1 30 2 5 0.75 39
1 25 1 2 0.23 29
1 50 2 5 0.35 33
1 46 2 5 0.65 38
1 46 2 5 0.75 38
1 43 2 3 0.5 34
1 97 1 3 0.43 33
2 9 1 2 -9 35
2 85 1 4 0.25 34
1 31 1 5 0.55 38
1 27 2 2 0.23 28
1 37 1 9 1 46
1 41 1 2 0.45 30
1 96 1 6 0.68 39
1 83 2 7 0.55 38
