#Strata	Haul	Sex	Len	Freq
2	27	3	38	2
2	27	3	29	1
2	27	3	30	1
2	27	3	33	1
2	27	3	35	1
2	27	3	36	1
2	27	3	37	3
2	27	3	38	2
2	27	3	29	2
2	27	3	32	1
2	28	3	28	1
2	28	3	33	1
2	28	3	35	1
2	28	3	36	1
2	28	3	37	3
2	28	3	38	1
2	28	3	39	1
2	28	3	40	1
2	28	3	42	1
2	28	3	35	1
2	28	3	36	2
2	28	3	38	1
2	28	3	39	1
2	28	3	40	1
2	28	3	41	1
2	29	3	33	1
2	29	3	34	2
2	29	3	35	3
2	29	3	36	1
2	29	3	37	4
2	29	3	38	2
2	29	3	39	1
2	29	3	40	1
2	29	3	35	1
2	29	3	37	3
2	29	3	38	1
2	30	3	30	1
2	30	3	33	1
2	30	3	34	2
2	30	3	35	2
2	30	3	36	1
2	30	3	38	1
2	30	3	40	2
2	30	3	35	1
2	30	3	36	1
2	30	3	37	2
2	30	3	40	1
2	31	3	36	5
2	31	3	37	1
2	31	3	38	2
2	31	3	39	4
2	31	3	41	1
2	31	3	34	1
2	31	3	36	1
2	31	3	38	3
2	32	3	33	1
2	32	3	35	1
2	32	3	37	6
2	32	3	38	2
2	32	3	39	1
2	32	3	30	1
2	32	3	32	1
2	32	3	35	2
2	32	3	37	1
2	32	3	39	1
2	32	3	40	2
2	33	3	33	1
2	33	3	34	2
2	33	3	35	1
2	33	3	36	4
2	33	3	37	2
2	33	3	39	2
2	33	3	40	2
2	33	3	34	1
2	33	3	35	2
2	33	3	36	1
2	33	3	37	3
2	33	3	38	2
2	34	3	21	1
2	34	3	25	1
2	34	3	26	1
2	34	3	29	2
2	34	3	30	2
2	34	3	32	1
2	34	3	33	1
2	34	3	34	1
2	34	3	38	1
2	34	3	26	2
2	34	3	27	1
2	34	3	28	1
2	34	3	29	1
2	34	3	34	2
2	34	3	35	1
2	34	3	36	1
2	34	3	37	1
2	35	3	37	2
2	35	3	38	1
2	35	3	39	2
2	35	3	41	2
2	35	3	42	1
2	35	3	37	2
2	35	3	39	4
2	35	3	40	2
2	35	3	41	1
2	36	3	27	1
2	36	3	30	1
2	36	3	31	1
2	36	3	32	1
2	36	3	33	1
2	36	3	34	2
2	36	3	19	1
2	36	3	28	2
2	36	3	25	1
2	36	3	30	1
2	36	3	31	1
2	36	3	32	2
2	36	3	35	1
2	36	3	36	1
2	36	3	37	1
2	36	3	38	1
2	36	3	40	1
2	37	3	26	1
2	37	3	27	3
2	37	3	28	1
2	37	3	32	5
2	37	3	33	3
2	37	3	35	1
2	37	3	36	4
2	37	3	19	1
2	37	3	21	1
2	37	3	26	1
2	37	3	27	1
2	37	3	28	1
2	37	3	29	1
2	37	3	30	3
2	37	3	31	1
2	37	3	32	1
2	37	3	33	1
2	37	3	35	1
2	37	3	38	1
2	38	3	18	1
2	38	3	20	1
2	38	3	25	3
2	38	3	26	1
2	38	3	29	1
2	38	3	30	1
2	38	3	32	1
2	38	3	33	1
2	38	3	34	1
2	38	3	35	1
2	38	3	36	1
2	38	3	26	1
2	38	3	27	1
2	38	3	29	1
2	38	3	30	2
2	38	3	35	2
2	38	3	37	1
2	39	3	34	1
2	39	3	36	1
2	39	3	37	1
2	39	3	30	1
2	39	3	32	3
2	39	3	33	2
2	39	3	34	1
2	39	3	36	1
2	39	3	37	1
2	39	3	18	1
2	39	3	26	1
2	39	3	27	3
2	39	3	29	1
2	39	3	30	1
2	39	3	31	2
2	39	3	32	1
2	39	3	33	1
2	40	3	25	1
2	40	3	34	1
2	40	3	35	2
2	40	3	37	1
2	40	3	19	1
2	40	3	23	1
2	40	3	27	1
2	40	3	29	4
2	40	3	32	1
2	40	3	33	2
2	40	3	34	2
2	40	3	36	1
2	40	3	37	2
2	41	3	24	1
2	41	3	27	1
2	41	3	28	1
2	41	3	29	1
2	41	3	30	1
2	41	3	32	2
2	41	3	33	1
2	41	3	34	1
2	41	3	36	1
2	41	3	37	2
2	41	3	25	1
2	41	3	26	3
2	41	3	28	2
2	41	3	30	1
2	41	3	31	2
2	41	3	32	2
2	41	3	33	3
2	41	3	34	2
2	41	3	35	2
2	41	3	36	2
2	42	3	27	2
2	42	3	28	1
2	42	3	29	3
2	42	3	30	1
2	42	3	31	1
2	42	3	32	2
2	42	3	33	1
2	42	3	35	3
2	42	3	36	1
2	42	3	18	1
2	42	3	25	1
2	42	3	26	1
2	42	3	30	1
2	42	3	32	1
2	42	3	33	1
2	42	3	34	1
2	42	3	37	2
2	43	3	35	1
2	43	3	36	2
2	43	3	37	1
2	43	3	39	2
2	43	3	40	2
2	43	3	41	2
2	43	3	30	1
2	43	3	34	1
2	43	3	38	2
2	43	3	39	2
2	43	3	40	1
2	44	3	20	1
2	44	3	28	1
2	44	3	29	1
2	44	3	30	1
2	44	3	31	2
2	44	3	32	1
2	44	3	33	1
2	44	3	34	1
2	44	3	36	1
2	44	3	37	1
2	44	3	19	1
2	44	3	29	2
2	44	3	31	1
2	44	3	32	2
2	44	3	33	2
2	44	3	34	1
2	44	3	39	1
2	45	3	20	1
2	45	3	25	1
2	45	3	27	1
2	45	3	28	1
2	45	3	29	1
2	45	3	30	1
2	45	3	31	1
2	45	3	32	1
2	45	3	34	1
2	45	3	36	1
2	45	3	17	1
2	45	3	19	1
2	45	3	25	2
2	45	3	26	1
2	45	3	29	2
2	45	3	31	1
2	45	3	33	2
2	45	3	34	2
2	45	3	36	1
2	45	3	38	3
2	46	3	30	2
2	46	3	31	3
2	46	3	33	2
2	46	3	34	1
2	46	3	35	2
2	46	3	36	2
2	46	3	37	2
2	46	3	39	2
2	46	3	31	2
2	46	3	33	1
2	46	3	35	1
2	46	3	36	2
2	46	3	37	2
2	46	3	40	2
2	47	3	33	2
2	47	3	34	4
2	47	3	35	2
2	47	3	37	2
2	47	3	38	1
2	47	3	40	1
2	47	3	33	2
2	47	3	34	1
2	47	3	35	1
2	47	3	36	1
2	47	3	37	2
2	47	3	38	3
2	47	3	39	1
2	47	3	41	1
2	48	3	33	1
2	48	3	34	1
2	48	3	35	6
2	48	3	36	1
2	48	3	39	2
2	48	3	40	1
2	48	3	30	1
2	48	3	34	1
2	48	3	35	1
2	48	3	36	3
2	48	3	38	3
2	48	3	39	1
2	48	3	40	2
2	49	3	29	1
2	49	3	30	1
2	49	3	31	1
2	49	3	34	1
2	49	3	35	1
2	49	3	37	2
2	49	3	38	2
2	49	3	39	1
2	49	3	40	1
2	49	3	36	2
2	49	3	37	3
2	49	3	38	2
2	49	3	39	2
2	49	3	40	1
2	50	3	32	1
2	50	3	35	1
2	50	3	36	2
2	50	3	37	3
2	50	3	38	3
2	50	3	39	1
2	50	3	40	1
2	50	3	42	1
2	50	3	33	1
2	50	3	34	1
2	50	3	35	3
2	50	3	36	1
2	50	3	37	3
2	50	3	39	1
2	50	3	40	1
2	51	3	31	2
2	51	3	34	2
2	51	3	35	1
2	51	3	37	2
2	51	3	38	2
2	51	3	39	1
2	51	3	40	2
2	51	3	42	1
2	51	3	36	2
2	51	3	38	1
2	51	3	39	1
2	51	3	42	1
2	51	3	43	1
2	52	3	33	2
2	52	3	34	1
2	52	3	36	2
2	52	3	37	4
2	52	3	38	3
2	52	3	39	4
2	52	3	40	3
2	52	3	35	1
2	52	3	36	1
2	52	3	37	2
2	52	3	38	1
2	52	3	39	1
