Sim year stratum sex length freq prop avg_wt nwt_samples nlen_samples naged
1 2009 1 1 15 0 0 0 0 0 0
1 2009 2 1 15 0 0 0 0 0 0
1 2009 3 1 15 0 0 0 0 0 0
1 2009 1 2 15 0 0 0 0 0 0
1 2009 2 2 15 0 0 0 0 0 0
1 2009 3 2 15 0 0 0 0 0 0
1 2009 1 1 16 0 0 0 0 0 0
1 2009 2 1 16 0 4.39638e-005 0 0 0.5 0
1 2009 3 1 16 0 0 0 0 0 0
1 2009 1 2 16 0 0 0 0 0 0
1 2009 2 2 16 0 4.39638e-005 0 0 0.5 0
1 2009 3 2 16 0 0 0 0 0 0
1 2009 1 1 17 0 0 0 0 0 0
1 2009 2 1 17 0 0.000175855 0 0 2 0
1 2009 3 1 17 0 0 0 0 0 0
1 2009 1 2 17 0 0 0 0 0 0
1 2009 2 2 17 0 0.000175855 0 0 2 0
1 2009 3 2 17 0 0 0 0 0 0
1 2009 1 1 18 0 0 0 0 0 0
1 2009 2 1 18 0 0.000659457 0 0 7.5 0
1 2009 3 1 18 0 0.000152138 0 0 1 0
1 2009 1 2 18 0 0 0 0 0 0
1 2009 2 2 18 0 0.000659457 0 0 7.5 0
1 2009 3 2 18 0 0.000152138 0 0 1 0
1 2009 1 1 19 0 0 0.04 0 0 0
1 2009 2 1 19 58.0011 0.000923239 0.04 1 10.5 0
1 2009 3 1 19 9.96178 0.000304275 0.04 0 2 0
1 2009 1 2 19 0 0 0.04 0 0 0
1 2009 2 2 19 58.0011 0.000923239 0.04 0 10.5 0
1 2009 3 2 19 9.96178 0.000304275 0.04 0 2 0
1 2009 1 1 20 0 0 0 0 0 0
1 2009 2 1 20 0 0.000879275 0 0 10 0
1 2009 3 1 20 0 7.60688e-005 0 0 0.5 0
1 2009 1 2 20 0 0 0 0 0 0
1 2009 2 2 20 0 0.000879275 0 0 10 0
1 2009 3 2 20 0 7.60688e-005 0 0 0.5 0
1 2009 1 1 21 0 0 0.09 0 0 0
1 2009 2 1 21 58.0011 0.000923239 0.09 0 10.5 0
1 2009 3 1 21 9.96178 0.000304275 0.09 1 2 1
1 2009 1 2 21 0 0 0.08 0 0 0
1 2009 2 2 21 58.0011 0.000923239 0.08 0 10.5 0
