1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
data\age1990.dat	data\age1991.dat	data\age1992.dat	data\age1993.dat	data\age1994.dat	data\age1995.dat	data\age1996.dat	data\age1997.dat	data\age1998.dat	data\age1999.dat	data\age2000.dat	data\age2001.dat	data\age2002.dat	data\age2003.dat	data\age2004.dat	data\age2005.dat	data\age2006.dat	data\age2007.dat	data\age2008.dat	data\age2009.dat	data\age2010.dat	data\age2011.dat
data\Length1990.dat	data\Length1991.dat	data\Length1992.dat	data\Length1993.dat	data\Length1994.dat	data\Length1995.dat	data\Length1996.dat	data\Length1997.dat	data\Length1998.dat	data\Length1999.dat	data\Length2000.dat	data\Length2001.dat	data\Length2002.dat	data\Length2003.dat	data\Length2004.dat	data\Length2005.dat	data\Length2006.dat	data\Length2007.dat	data\Length2008.dat	data\Length2009.dat	data\Length2010.dat	data\Length2011.dat
731	356	90	58	913	1054	1039	126	733	1633	2697	3332	3135	4083	4205	4494	4194	2100	1882	2374	879	1976
8618	7423	13532	12476	13384	19653	24758	13412	15060	12349	9207	11600	12418	13740	14239	13142	13598	11841	19831	15207	16412	11814
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
5115.558119	6130.518486	10837.30654	9971.423427	15429.31	14188.573	28169.355	16312.219	12221.046	17426.653	14332.69	8420.917	4918.703	10725.339	10838.482	7214.808	7384.252	22943	19118	26417	23608	40900
11057.82941	13251.77547	5396.851473	44061.99031	41003.583	50386.374	33523.377	19989.974	20209.104	22418.513	22382.993	32828.814	22290.95	25434.878	30169.289	35069.484	39825.518	26723	22329	30070	26388	10713
6031.612469	7228.324041	1465.96337	11596.22394	8922.897	16966.619	42245.811	29537.024	24616.509	16365.832	10502.624	20309.276	18077.451	17884.738	19554.167	19743.197	14637.202	9097	16643	16319	18650	205
Est1990.dat	Est1991.dat	Est1992.dat	Est1993.dat	Est1994.dat	Est1995.dat	Est1996.dat	Est1997.dat	Est1998.dat	Est1999.dat	Est2000.dat	Est2001.dat	Est2002.dat	Est2003.dat	Est2004.dat	Est2005.dat	Est2006.dat	Est2007.dat	Est2008.dat	Est2009.dat	Est2010.dat	Est2011.dat
