year type stratum sex age value 
2009 Biomass 2 1 15 0
2009 N_Kimura   2 1 1 1062.56
2009 N_Kimura   2 1 2 8126.57
2009 N_Kimura   2 1 3 5502.44
2009 N_Kimura   2 1 4 6872.89
2009 N_Kimura   2 1 5 2130.4
2009 N_Kimura   2 1 6 1174.83
2009 N_Kimura   2 1 7 3644.6
2009 N_Kimura   2 1 8 1573.83
2009 N_Kimura   2 1 9 2243.81
2009 N_Kimura   2 1 10 198.78
2009 N_Kimura   2 1 11 0
2009 N_Kimura   2 1 12 0
2009 N_Kimura   2 1 13 0
2009 N_Kimura   2 1 14 0
2009 N_Kimura   2 1 15 0
2009 avg_wt_age 2 1 1 0.183833
2009 avg_wt_age 2 1 2 0.323785
2009 avg_wt_age 2 1 3 0.418989
2009 avg_wt_age 2 1 4 0.48701
2009 avg_wt_age 2 1 5 0.543155
2009 avg_wt_age 2 1 6 0.556239
2009 avg_wt_age 2 1 7 0.560827
2009 avg_wt_age 2 1 8 0.558724
2009 avg_wt_age 2 1 9 0.64795
2009 avg_wt_age 2 1 10 0.552403
2009 avg_wt_age 2 1 11 0
2009 avg_wt_age 2 1 12 0
2009 avg_wt_age 2 1 13 0
2009 avg_wt_age 2 1 14 0
2009 avg_wt_age 2 1 15 0
2009 N 2 2 1 873.469
2009 N 2 2 2 9531.96
2009 N 2 2 3 5438.47
2009 N 2 2 4 5504.2
2009 N 2 2 5 1612.53
2009 N 2 2 6 2749.31
2009 N 2 2 7 3685.42
2009 N 2 2 8 1055
2009 N 2 2 9 737.639
2009 N 2 2 10 0
2009 N 2 2 11 0
2009 N 2 2 12 0
2009 N 2 2 13 0
2009 N 2 2 14 0
2009 N 2 2 15 0
2009 Biomass 2 2 1 155.15
2009 Biomass 2 2 2 3422.25
2009 Biomass 2 2 3 2638.76
2009 Biomass 2 2 4 3080.87
2009 Biomass 2 2 5 1024.05
2009 Biomass 2 2 6 1782.53
2009 Biomass 2 2 7 2490.75
2009 Biomass 2 2 8 755.331
2009 Biomass 2 2 9 535.463
