Sim year stratum sex length freq prop avg_wt nwt_samples nlen_samples naged
1 2010 1 1 15 0 0 0 0 0 0
1 2010 2 1 15 0 0 0 0 0 0
1 2010 3 1 15 0 0 0 0 0 0
1 2010 1 2 15 0 0 0 0 0 0
1 2010 2 2 15 0 0 0 0 0 0
1 2010 3 2 15 0 0 0 0 0 0
1 2010 1 1 16 0 0 0 0 0 0
1 2010 2 1 16 0 0 0 0 0 0
1 2010 3 1 16 0 0 0 0 0 0
1 2010 1 2 16 0 0 0 0 0 0
1 2010 2 2 16 0 0 0 0 0 0
1 2010 3 2 16 0 0 0 0 0 0
1 2010 1 1 17 0 0 0 0 0 0
1 2010 2 1 17 0 0 0 0 0 0
1 2010 3 1 17 0 0 0 0 0 0
1 2010 1 2 17 0 0 0 0 0 0
1 2010 2 2 17 0 9.36768e-005 0 0 1 0
1 2010 3 2 17 0 0 0 0 0 0
1 2010 1 1 18 0 0.000376695 0 0 3 0
1 2010 2 1 18 0 0 0 0 0 0
1 2010 3 1 18 0 0 0 0 0 0
1 2010 1 2 18 0 0 0 0 0 0
1 2010 2 2 18 0 9.36768e-005 0 0 1 0
1 2010 3 2 18 0 0 0 0 0 0
1 2010 1 1 19 0 0.000376695 0 0 3 0
1 2010 2 1 19 0 0.000140515 0 0 1.5 0
1 2010 3 1 19 0 0 0 0 0 0
1 2010 1 2 19 0 0 0 0 0 0
1 2010 2 2 19 0 0.000327869 0 0 3.5 0
1 2010 3 2 19 0 0 0 0 0 0
1 2010 1 1 20 0 0 0 0 0 0
1 2010 2 1 20 0 0.000187354 0 0 2 0
1 2010 3 1 20 0 0 0 0 0 0
1 2010 1 2 20 0 0.000125565 0 0 1 0
1 2010 2 2 20 0 0 0 0 0 0
1 2010 3 2 20 0 0.000113934 0 0 1 0
1 2010 1 1 21 0 0.000125565 0 0 1 0
1 2010 2 1 21 0 0.00028103 0 0 3 0
1 2010 3 1 21 0 0 0 0 0 0
1 2010 1 2 21 0 0.00025113 0 0 2 0
1 2010 2 2 21 0 0.000187354 0 0 2 0
1 2010 3 2 21 0 0 0 0 0 0
1 2010 1 1 22 0 0.00075339 0 0 6 0
1 2010 2 1 22 0 0.000843091 0 0 9 0
1 2010 3 1 22 0 0.000341802 0 0 3 0
1 2010 1 2 22 0 0.000627825 0 0 5 0
1 2010 2 2 22 0 0.000655738 0 0 7 0
1 2010 3 2 22 0 0.000113934 0 0 1 0
1 2010 1 1 23 53.7577 0.00138122 0.1 0 11 0
