year type stratum sex age value 
2011 N 1 1 1 0
2011 N 1 1 2 424.845
2011 N 1 1 3 2579.46
2011 N 1 1 4 7952.6
2011 N 1 1 5 8088.71
2011 N 1 1 6 1589.71
2011 N 1 1 7 596.618
2011 N 1 1 8 310.753
2011 N 1 1 9 423.824
2011 N 1 1 10 542.472
2011 N 1 1 11 393.548
2011 N 1 1 12 27.262
2011 N 1 1 13 0
2011 N 1 1 14 0
2011 N 1 1 15 0
2011 Biomass 1 1 1 0
2011 Biomass 1 1 2 90.9645
2011 Biomass 1 1 3 1293.88
2011 Biomass 1 1 4 5581.24
2011 Biomass 1 1 5 7219.11
2011 Biomass 1 1 6 1402.86
2011 Biomass 1 1 7 522.88
2011 Biomass 1 1 8 299.543
2011 Biomass 1 1 9 448.73
2011 Biomass 1 1 10 568.022
2011 Biomass 1 1 11 379.208
2011 Biomass 1 1 12 37.4728
2011 Biomass 1 1 13 0
2011 Biomass 1 1 14 0
2011 Biomass 1 1 15 0
2011 N_Kimura   1 1 1 0
2011 N_Kimura   1 1 2 364.244
2011 N_Kimura   1 1 3 2211.52
2011 N_Kimura   1 1 4 6818.23
2011 N_Kimura   1 1 5 6934.92
2011 N_Kimura   1 1 6 1362.95
2011 N_Kimura   1 1 7 511.515
2011 N_Kimura   1 1 8 266.427
2011 N_Kimura   1 1 9 363.369
2011 N_Kimura   1 1 10 465.093
2011 N_Kimura   1 1 11 337.411
2011 N_Kimura   1 1 12 23.3733
2011 N_Kimura   1 1 13 0
2011 N_Kimura   1 1 14 0
2011 N_Kimura   1 1 15 0
2011 avg_wt_age 1 1 1 0
2011 avg_wt_age 1 1 2 0.214112
2011 avg_wt_age 1 1 3 0.501612
2011 avg_wt_age 1 1 4 0.701813
2011 avg_wt_age 1 1 5 0.892493
2011 avg_wt_age 1 1 6 0.882465
2011 avg_wt_age 1 1 7 0.876407
2011 avg_wt_age 1 1 8 0.963926
2011 avg_wt_age 1 1 9 1.05876
2011 avg_wt_age 1 1 10 1.0471
2011 avg_wt_age 1 1 11 0.963563
2011 avg_wt_age 1 1 12 1.37455
2011 avg_wt_age 1 1 13 0
2011 avg_wt_age 1 1 14 0
2011 avg_wt_age 1 1 15 0
2011 N 1 2 1 0
2011 N 1 2 2 387.654
2011 N 1 2 3 476.337
2011 N 1 2 4 7602.81
2011 N 1 2 5 10079
2011 N 1 2 6 2514.25
2011 N 1 2 7 1812.96
2011 N 1 2 8 351.547
2011 N 1 2 9 1296.99
2011 N 1 2 10 2469.76
2011 N 1 2 11 1768.18
2011 N 1 2 12 912.469
2011 N 1 2 13 220.354
2011 N 1 2 14 0
2011 N 1 2 15 0
2011 Biomass 1 2 1 0
2011 Biomass 1 2 2 84.4402
2011 Biomass 1 2 3 119.078
