Sim year stratum sex length freq prop avg_wt nwt_samples nlen_samples naged
1 2011 1 1 15 0 0 0 0 0 0
1 2011 2 1 15 0 0 0 0 0 0
1 2011 3 1 15 0 0 0 0 0 0
1 2011 1 2 15 0 0 0 0 0 0
1 2011 2 2 15 0 0 0 0 0 0
1 2011 3 2 15 0 0 0 0 0 0
1 2011 1 1 16 0 0 0 0 0 0
1 2011 2 1 16 0 0 0 0 0 0
1 2011 3 1 16 0 0 0 0 0 0
1 2011 1 2 16 0 0 0 0 0 0
1 2011 2 2 16 0 0 0 0 0 0
1 2011 3 2 16 0 0 0 0 0 0
1 2011 1 1 17 0 0 0 0 0 0
1 2011 2 1 17 0 0 0 0 0 0
1 2011 3 1 17 0 0 0 0 0 0
1 2011 1 2 17 0 0 0 0 0 0
1 2011 2 2 17 0 0 0 0 0 0
1 2011 3 2 17 0 0 0 0 0 0
1 2011 1 1 18 0 0 0 0 0 0
1 2011 2 1 18 0 0 0 0 0 0
1 2011 3 1 18 0 0 0 0 0 0
1 2011 1 2 18 0 0 0 0 0 0
1 2011 2 2 18 0 0 0 0 0 0
1 2011 3 2 18 0 0 0 0 0 0
1 2011 1 1 19 0 6.24337e-005 0 0 1 0
1 2011 2 1 19 0 0 0 0 0 0
1 2011 3 1 19 0 0 0 0 0 0
1 2011 1 2 19 0 0 0 0 0 0
1 2011 2 2 19 0 0 0 0 0 0
1 2011 3 2 19 0 0 0 0 0 0
1 2011 1 1 20 0 6.24337e-005 0 0 1 0
1 2011 2 1 20 0 0 0 0 0 0
1 2011 3 1 20 0 0 0 0 0 0
1 2011 1 2 20 0 0 0 0 0 0
1 2011 2 2 20 0 0 0 0 0 0
1 2011 3 2 20 0 0 0 0 0 0
1 2011 1 1 21 0 9.36505e-005 0 0 1.5 0
1 2011 2 1 21 0 0 0 0 0 0
1 2011 3 1 21 0 0 0 0 0 0
1 2011 1 2 21 0 3.12168e-005 0 0 0.5 0
1 2011 2 2 21 0 0 0 0 0 0
1 2011 3 2 21 0 0 0 0 0 0
1 2011 1 1 22 8.2612 0.000156084 0.08 0 2.5 0
1 2011 2 1 22 3.33517 0.000207168 0.08 0 1 0
1 2011 3 1 22 0 0 0.08 0 0 0
1 2011 1 2 22 11.5657 0.000218518 0.08 0 3.5 0
1 2011 2 2 22 3.33517 0.000207168 0.08 1 1 1
1 2011 3 2 22 0 0 0.08 0 0 0
1 2011 1 1 23 0 0.000499469 0 0 8 0
1 2011 2 1 23 0 0.000414336 0 0 2 0
1 2011 3 1 23 0 0 0 0 0 0
1 2011 1 2 23 0 0.000312168 0 0 5 0
1 2011 2 2 23 0 0 0 0 0 0
1 2011 3 2 23 0 0 0 0 0 0
1 2011 1 1 24 67.7419 0.00127989 0.14 0 20.5 0
1 2011 2 1 24 26.6814 0.00165734 0.14 1 8 1
1 2011 3 1 24 0 0 0.14 0 0 0
1 2011 1 2 24 44.6105 0.000842854 0.116667 0 13.5 0
1 2011 2 2 24 13.3407 0.000828672 0.116667 3 4 3
1 2011 3 2 24 0 0 0.116667 0 0 0
1 2011 1 1 25 145.397 0.00274708 0.15 0 44 0
1 2011 2 1 25 53.3627 0.00331469 0.15 2 16 2
1 2011 3 1 25 0 0 0.15 0 0 0
1 2011 1 2 25 115.657 0.00218518 0.148571 0 35 0
1 2011 2 2 25 33.3517 0.00207168 0.148571 7 10 7
1 2011 3 2 25 0 0 0.148571 0 0 0
1 2011 1 1 26 204.878 0.00387089 0.1875 0 62 0
1 2011 2 1 26 40.022 0.00248602 0.178 5 12 4.5
1 2011 3 1 26 0 0 0.1875 0 0 0
1 2011 1 2 26 198.269 0.00374602 0.2 0 60 0
1 2011 2 2 26 60.033 0.00372902 0.191429 7 18 5.5
1 2011 3 2 26 0 0 0.2 0 0 0
1 2011 1 1 27 262.706 0.00496348 0.24 1 79.5 0
1 2011 2 1 27 100.055 0.00621504 0.216667 9 30 9
1 2011 3 1 27 0 0 0.219 0 0 0
1 2011 1 2 27 348.623 0.00658675 0.207778 0 105.5 0
1 2011 2 2 27 70.0386 0.00435053 0.207778 9 21 9
1 2011 3 2 27 0 0 0.207778 0 0 0
1 2011 1 1 28 422.974 0.00799151 0.226154 0 128 0
1 2011 2 1 28 90.0496 0.00559354 0.226154 13 27 13
1 2011 3 1 28 0 0 0.226154 0 0 0
1 2011 1 2 28 389.929 0.00736717 0.235556 0 118 0
1 2011 2 2 28 70.0386 0.00435053 0.235556 9 21 9
1 2011 3 2 28 0 0 0.235556 0 0 0
1 2011 1 1 29 409.756 0.00774177 0.26375 0 124 0
1 2011 2 1 29 133.407 0.00828672 0.26375 16 40 16
1 2011 3 1 29 0 0 0.26375 0 0 0
1 2011 1 2 29 472.541 0.00892801 0.258333 0 143 0
1 2011 2 2 29 176.764 0.0109799 0.258333 12 53 12
1 2011 3 2 29 0 0 0.258333 0 0 0
1 2011 1 1 30 548.544 0.010364 0.32 1 166 1
1 2011 2 1 30 166.758 0.0103584 0.308125 16 50 16
1 2011 3 1 30 0 0 0.308824 0 0 0
1 2011 1 2 30 555.153 0.0104889 0.290588 0 168 0
1 2011 2 2 30 196.775 0.0122229 0.290588 17 59 17
1 2011 3 2 30 0 0 0.290588 0 0 0
1 2011 1 1 31 611.329 0.0115502 0.39 2 185 0
1 2011 2 1 31 220.121 0.0136731 0.338696 23 66 23
1 2011 3 1 31 0 0 0.3428 0 0 0
1 2011 1 2 31 581.589 0.0109883 0.316842 0 176 0
1 2011 2 2 31 283.489 0.0176093 0.316842 19 85 18
1 2011 3 2 31 0 0 0.316842 0 0 0
1 2011 1 1 32 604.72 0.0114254 0.42 2 183 0
1 2011 2 1 32 253.473 0.0157448 0.364444 27 76 27
1 2011 3 1 32 0 0 0.368276 0 0 0
